anime_id,title_romaji,title_english,title_native,season,season_year,type,format,status,episodes,duration,average_score,popularity,favorites,genres,country,source_material,studio,start_year,start_month,start_day
589,Ginga: Nagareboshi Gin,,銀牙 -流れ星 銀-,SPRING,1986.0,ANIME,TV,FINISHED,21.0,23,74,6242,184,"Action, Adventure, Drama",JP,MANGA,Toei Animation,1986,4.0,7.0
590,Kage kara Mamoru!,Guardian Ninja Mamoru,陰からマモル！,WINTER,2006.0,ANIME,TV,FINISHED,12.0,24,62,4767,38,"Comedy, Romance",JP,LIGHT_NOVEL,,2006,1.0,8.0
591,Amaenaide yo!!,Ah My Buddha!!,あまえないでよっ!!,SUMMER,2005.0,ANIME,TV,FINISHED,12.0,24,59,12188,69,"Comedy, Ecchi, Romance, Supernatural",JP,MANGA,Studio DEEN,2005,7.0,1.0
592,Popolocrois,,ポポロクロイス,FALL,2003.0,ANIME,TV,FINISHED,26.0,23,65,739,6,"Adventure, Fantasy",JP,VIDEO_GAME,,2003,10.0,5.0
593,Mugen no Ryvius,Infinite Ryvius,無限のリヴァイアス,FALL,1999.0,ANIME,TV,FINISHED,26.0,23,72,12849,169,"Drama, Mecha, Psychological, Sci-Fi",JP,ORIGINAL,Sunrise,1999,10.0,6.0
594,NARUTO: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!,Naruto: The Lost Story - Mission: Protect the Waterfall Village,NARUTO -ナルト- 滝隠れの死闘 オレが英雄だってばよ！,WINTER,2003.0,ANIME,SPECIAL,FINISHED,1.0,40,64,20255,140,"Action, Adventure, Comedy",JP,MANGA,Studio Pierrot,2003,12.0,20.0
595,X OVA,,エックス,SUMMER,2001.0,ANIME,OVA,FINISHED,1.0,22,61,3692,17,"Drama, Fantasy, Mystery, Romance, Supernatural",JP,MANGA,MADHOUSE,2001,8.0,25.0
596,"Chobits: Chibits - Sumomo, Kotoko Todokeru",,ちょびっツ ちびっツ すもも・琴子　届ける,SUMMER,2003.0,ANIME,SPECIAL,FINISHED,1.0,6,65,7640,36,"Comedy, Ecchi, Romance",JP,MANGA,,2003,6.0,27.0
597,Neko no Ongaeshi,The Cat Returns,猫の恩返し,SUMMER,2002.0,ANIME,MOVIE,FINISHED,1.0,75,75,77197,1792,"Adventure, Comedy, Drama, Fantasy",JP,MANGA,Studio Ghibli,2002,7.0,20.0
598,Jinzou Ningen Kikaider: THE ANIMATION,Android Kikaider - The Animation,人造人間キカイダーTHE ANIMATION,FALL,2000.0,ANIME,TV,FINISHED,13.0,23,66,3036,73,"Action, Adventure, Drama, Mecha, Sci-Fi",JP,MANGA,Radix,2000,10.0,16.0
599,Yuugen Kaisha,Phantom Quest Corp.,幽幻怪社,SUMMER,1994.0,ANIME,OVA,FINISHED,4.0,30,64,3035,29,"Action, Adventure, Comedy, Supernatural",JP,ORIGINAL,MADHOUSE,1994,8.0,25.0
600,Legend of Duo,,レジェンドオブ・デュオ,SPRING,2005.0,ANIME,TV_SHORT,FINISHED,12.0,5,37,1984,12,"Drama, Supernatural",JP,ORIGINAL,mobanimation,2005,4.0,21.0
601,Nekojiru-sou,Cat Soup,ねこぢる草,WINTER,2001.0,ANIME,OVA,FINISHED,1.0,32,71,27840,1027,"Comedy, Horror, Psychological",JP,MANGA,J.C.STAFF,2001,2.0,21.0
602,KO Seiki Beast Sanjuushi,K.O. Beast,KO世紀 ビースト三獣士,SPRING,1992.0,ANIME,OVA,FINISHED,7.0,29,64,1577,19,"Adventure, Comedy, Fantasy, Mecha, Supernatural",JP,ORIGINAL,Animate Film,1992,5.0,2.0
603,Futari wa Precure,Precure,ふたりはプリキュア,WINTER,2004.0,ANIME,TV,FINISHED,49.0,24,71,20874,479,"Action, Adventure, Comedy, Fantasy, Mahou Shoujo",JP,ORIGINAL,Toei Animation,2004,2.0,1.0
604,Mahou no Stage Fancy Lala,Fancy Lala,魔法のステージ ファンシーララ,SPRING,1998.0,ANIME,TV,FINISHED,26.0,24,70,4530,86,"Comedy, Drama, Mahou Shoujo, Music, Romance",JP,ORIGINAL,Studio Pierrot,1998,4.0,5.0
605,Tenshi ni Narumon!,I'm Gonna Be an Angel!,天使になるもんっ！,SPRING,1999.0,ANIME,TV,FINISHED,26.0,23,66,2918,42,"Comedy, Fantasy, Romance",JP,ORIGINAL,Studio Pierrot,1999,4.0,7.0
